Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
01-01-2004,3.90,0.00,268.00,0.00
02-01-2004,3.90,0.00,268.00,0.00
03-01-2004,3.90,0.00,267.00,0.00
04-01-2004,3.90,0.00,267.00,0.00
05-01-2004,3.80,0.00,267.00,0.00
06-01-2004,3.80,0.00,266.00,0.00
07-01-2004,3.80,0.00,266.00,0.00
08-01-2004,3.70,0.00,265.00,0.00
09-01-2004,3.70,0.00,264.00,0.00
10-01-2004,3.70,0.00,264.00,0.00
11-01-2004,3.60,0.00,263.00,0.00
12-01-2004,3.60,0.00,262.00,0.00
13-01-2004,3.60,0.00,261.00,0.00
14-01-2004,3.50,0.00,260.00,0.00
15-01-2004,3.50,0.00,259.00,0.00
16-01-2004,3.40,0.00,258.00,0.00
17-01-2004,3.40,0.00,256.00,0.00
18-01-2004,3.40,0.00,254.00,0.00
19-01-2004,3.40,0.00,252.00,0.00
20-01-2004,3.40,0.00,250.00,0.00
21-01-2004,3.30,0.00,247.00,0.00
22-01-2004,3.30,0.00,244.00,0.00
23-01-2004,3.30,0.00,242.00,0.00
24-01-2004,3.30,0.00,239.00,0.00
25-01-2004,3.20,0.00,237.00,0.00
26-01-2004,3.20,0.00,234.00,0.00
27-01-2004,3.90,0.00,232.00,0.00
28-01-2004,4.90,0.00,230.00,0.00
29-01-2004,4.90,0.00,227.00,0.00
30-01-2004,4.90,0.00,225.00,0.00
31-01-2004,4.80,0.00,223.00,0.00
01-02-2004,4.80,0.00,220.00,0.00
02-02-2004,4.80,0.00,218.00,0.00
03-02-2004,4.70,0.00,216.00,0.00
04-02-2004,4.70,0.00,213.00,0.00
05-02-2004,4.70,0.00,211.00,0.00
06-02-2004,4.60,0.00,209.00,0.00
07-02-2004,4.60,0.00,206.00,0.00
08-02-2004,4.60,0.00,204.00,0.00
09-02-2004,4.50,0.00,202.00,0.00
10-02-2004,4.50,0.00,200.00,0.00
11-02-2004,4.50,0.00,197.00,0.00
12-02-2004,4.40,0.00,195.00,0.00
13-02-2004,4.40,0.00,193.00,0.00
14-02-2004,4.40,0.00,191.00,0.00
15-02-2004,4.30,0.00,189.00,0.00
16-02-2004,4.30,0.00,186.00,0.00
17-02-2004,4.20,0.00,184.00,0.00
18-02-2004,4.30,0.00,182.00,0.00
19-02-2004,4.50,0.00,179.00,0.00
20-02-2004,4.80,0.00,177.00,0.00
21-02-2004,4.80,0.00,175.00,0.00
22-02-2004,4.80,0.00,172.00,0.00
23-02-2004,4.70,0.00,170.00,0.00
24-02-2004,4.70,0.00,168.00,0.00
25-02-2004,4.70,0.00,165.00,0.00
26-02-2004,4.60,0.00,163.00,0.00
27-02-2004,4.60,0.00,161.00,0.00
28-02-2004,4.50,0.00,158.00,0.00
29-02-2004,4.50,0.00,156.00,0.00
01-03-2004,4.40,0.00,153.00,0.00
02-03-2004,4.40,0.00,151.00,0.00
03-03-2004,4.30,0.00,149.00,0.00
04-03-2004,4.30,0.00,147.00,0.00
05-03-2004,4.20,0.00,145.00,0.00
06-03-2004,4.20,0.00,143.00,0.00
07-03-2004,4.20,0.00,141.00,0.00
08-03-2004,4.10,0.00,139.00,0.00
09-03-2004,6.96,0.00,137.00,0.00
10-03-2004,10.90,0.00,135.00,0.00
11-03-2004,14.40,0.00,134.00,0.00
12-03-2004,15.40,0.00,137.00,0.00
13-03-2004,16.20,0.00,140.00,0.00
14-03-2004,18.40,0.00,144.00,0.00
15-03-2004,21.00,0.00,147.70,0.00
16-03-2004,23.40,0.00,151.50,0.00
17-03-2004,25.20,0.00,155.30,0.00
18-03-2004,25.70,0.00,158.50,0.00
19-03-2004,24.00,0.00,161.70,0.00
20-03-2004,20.60,0.00,165.00,0.00
21-03-2004,17.10,0.00,168.20,0.00
22-03-2004,12.70,0.00,171.50,0.00
23-03-2004,10.00,0.00,174.90,0.00
24-03-2004,9.20,0.00,177.00,0.00
25-03-2004,9.50,0.00,179.00,0.00
26-03-2004,9.60,0.00,181.00,0.00
27-03-2004,9.60,0.00,182.80,0.00
28-03-2004,9.10,0.00,184.70,0.00
29-03-2004,8.50,0.00,186.60,0.00
30-03-2004,7.90,0.00,187.80,0.00
31-03-2004,7.90,0.00,188.80,0.00
01-04-2004,7.90,0.00,190.00,0.00
02-04-2004,8.10,0.00,191.10,0.00
03-04-2004,8.30,0.00,191.70,0.00
04-04-2004,7.50,0.00,192.40,0.00
05-04-2004,6.50,0.00,192.70,0.00
06-04-2004,5.60,0.00,191.70,0.00
07-04-2004,5.40,0.00,190.00,0.00
08-04-2004,5.80,0.00,188.30,0.00
09-04-2004,6.80,0.00,186.80,0.00
10-04-2004,7.70,0.00,186.30,0.00
11-04-2004,7.90,0.00,186.30,0.00
12-04-2004,7.10,0.00,186.30,0.00
13-04-2004,6.20,0.00,186.30,0.00
14-04-2004,5.80,0.00,185.60,0.00
15-04-2004,5.70,0.00,184.60,0.00
16-04-2004,5.40,0.00,182.90,0.00
17-04-2004,5.00,0.00,180.90,0.00
18-04-2004,4.80,0.00,178.70,0.00
19-04-2004,4.70,0.00,176.50,0.00
20-04-2004,4.60,0.00,174.20,0.00
21-04-2004,4.50,0.00,171.70,0.00
22-04-2004,4.40,0.00,169.40,0.00
23-04-2004,4.30,0.00,167.40,0.00
24-04-2004,4.20,0.00,165.40,0.00
25-04-2004,4.10,0.00,163.30,0.00
26-04-2004,4.00,0.00,161.20,0.00
27-04-2004,3.90,0.00,159.40,0.00
28-04-2004,3.80,0.00,157.30,0.00
29-04-2004,3.70,0.00,155.40,0.00
30-04-2004,3.60,0.00,153.30,0.00
01-05-2004,3.50,0.00,151.30,0.00
02-05-2004,3.40,0.00,149.20,0.00
03-05-2004,3.40,0.00,147.30,0.00
04-05-2004,5.20,0.00,147.30,0.00
05-05-2004,6.90,0.00,146.80,0.00
06-05-2004,8.70,0.00,149.50,0.00
07-05-2004,8.10,0.00,153.50,0.00
08-05-2004,6.50,0.00,157.30,0.00
09-05-2004,5.40,0.00,159.50,0.00
10-05-2004,4.50,0.00,160.50,0.00
11-05-2004,4.30,0.00,160.50,0.00
12-05-2004,4.30,0.00,159.00,0.00
13-05-2004,4.20,0.00,157.20,0.00
14-05-2004,4.10,0.00,155.30,0.00
15-05-2004,4.00,0.00,153.30,0.00
16-05-2004,3.90,0.00,151.20,0.00
17-05-2004,6.30,0.00,149.50,0.00
18-05-2004,7.30,0.00,149.00,0.00
19-05-2004,7.70,0.00,147.20,0.00
20-05-2004,7.70,0.00,145.40,0.00
21-05-2004,7.70,0.00,143.90,0.00
22-05-2004,7.60,0.00,142.40,0.00
23-05-2004,7.60,0.00,140.90,0.00
24-05-2004,7.80,0.00,139.40,0.00
25-05-2004,8.10,0.00,137.40,0.00
26-05-2004,8.30,0.00,135.30,0.00
27-05-2004,6.60,0.00,133.40,0.00
28-05-2004,4.60,0.00,134.90,0.00
29-05-2004,4.10,0.00,134.90,0.00
30-05-2004,3.70,0.00,133.30,0.00
31-05-2004,3.70,0.00,131.70,0.00
01-06-2004,4.50,0.00,130.10,0.00
02-06-2004,4.80,0.00,128.50,0.00
03-06-2004,4.90,0.00,127.20,0.00
04-06-2004,4.90,0.00,126.00,0.00
05-06-2004,4.90,0.00,124.80,0.00
06-06-2004,4.90,0.00,123.60,0.00
07-06-2004,4.80,0.00,122.50,0.00
08-06-2004,5.10,0.00,121.50,0.00
09-06-2004,6.00,0.00,120.60,0.00
10-06-2004,6.30,0.00,119.60,0.00
11-06-2004,6.90,0.00,118.70,0.00
12-06-2004,7.10,0.00,118.20,0.00
13-06-2004,7.10,0.00,117.70,0.00
14-06-2004,7.10,0.00,117.20,0.00
15-06-2004,7.00,0.00,116.70,0.00
16-06-2004,6.90,0.00,116.20,0.00
17-06-2004,6.80,0.00,115.70,0.00
18-06-2004,6.70,0.00,115.20,0.00
19-06-2004,6.60,0.00,114.70,0.00
20-06-2004,6.50,0.00,114.20,0.00
21-06-2004,6.40,0.00,113.70,0.00
22-06-2004,6.30,0.00,113.20,0.00
23-06-2004,6.20,0.00,112.70,0.00
24-06-2004,6.00,0.00,112.20,0.00
25-06-2004,5.90,0.00,111.70,0.00
26-06-2004,5.80,0.00,111.20,0.00
27-06-2004,5.70,0.00,110.70,0.00
28-06-2004,5.60,0.00,110.20,0.00
29-06-2004,5.50,0.00,109.70,0.00
30-06-2004,5.50,0.00,109.20,0.00
01-07-2004,5.40,0.00,108.70,0.00
02-07-2004,5.30,0.00,108.20,0.00
03-07-2004,5.30,0.00,107.20,0.00
04-07-2004,5.60,0.00,106.20,0.00
05-07-2004,5.50,0.00,105.20,0.00
06-07-2004,5.70,0.00,104.20,0.00
07-07-2004,5.70,0.00,103.40,0.00
08-07-2004,5.60,0.00,102.40,0.00
09-07-2004,5.60,0.00,101.40,0.00
10-07-2004,5.60,0.00,100.40,0.00
11-07-2004,5.60,0.00,99.40,0.00
12-07-2004,5.50,0.00,98.40,0.00
13-07-2004,5.50,0.00,97.50,0.00
14-07-2004,5.50,0.00,96.00,0.00
15-07-2004,5.40,0.00,93.00,0.00
16-07-2004,5.40,0.00,90.00,0.00
17-07-2004,5.40,0.00,87.00,0.00
18-07-2004,5.30,0.00,84.00,0.00
19-07-2004,5.30,0.00,81.00,0.00
20-07-2004,5.20,0.00,78.00,0.00
21-07-2004,5.10,0.00,75.00,0.00
22-07-2004,4.90,0.00,72.60,0.00
23-07-2004,4.60,0.00,70.20,0.00
24-07-2004,4.30,0.00,67.80,0.00
25-07-2004,4.00,0.00,65.40,0.00
26-07-2004,4.10,0.00,63.00,0.00
27-07-2004,3.90,0.00,60.60,0.00
28-07-2004,3.60,0.00,58.20,0.00
29-07-2004,3.60,0.00,55.80,0.00
30-07-2004,3.60,0.00,53.40,0.00
31-07-2004,3.50,0.00,51.00,0.00
01-08-2004,3.50,0.00,48.60,0.00
02-08-2004,3.40,0.00,46.20,0.00
03-08-2004,3.30,0.00,43.80,0.00
04-08-2004,3.30,0.00,41.40,0.00
05-08-2004,3.20,0.00,39.00,0.00
06-08-2004,3.20,0.00,36.60,0.00
07-08-2004,3.10,0.00,34.20,0.00
08-08-2004,3.00,0.00,31.80,0.00
09-08-2004,3.00,0.00,29.40,0.00
10-08-2004,2.90,0.00,27.00,0.00
11-08-2004,2.80,0.00,0.00,0.00
12-08-2004,2.70,0.00,0.00,0.00
13-08-2004,2.70,0.00,0.00,0.00
14-08-2004,2.70,0.00,0.00,0.00
15-08-2004,2.60,0.00,0.00,0.00
16-08-2004,2.60,0.00,0.00,0.00
17-08-2004,2.50,0.00,0.00,0.00
18-08-2004,2.40,0.00,0.00,0.00
19-08-2004,2.40,0.00,0.00,0.00
20-08-2004,2.30,0.00,0.00,0.00
21-08-2004,2.20,0.00,0.00,0.00
22-08-2004,2.10,0.00,0.00,0.00
23-08-2004,2.00,0.00,0.00,0.00
24-08-2004,1.90,0.00,0.00,0.00
25-08-2004,1.80,0.00,0.00,0.00
26-08-2004,1.70,0.00,0.00,0.00
27-08-2004,1.60,0.00,0.00,0.00
28-08-2004,1.50,0.00,0.00,0.00
29-08-2004,1.40,0.00,0.00,0.00
30-08-2004,1.30,0.00,0.00,0.00
31-08-2004,1.30,0.00,0.00,0.00
01-09-2004,1.20,0.00,0.00,0.00
02-09-2004,1.10,0.00,0.00,0.00
03-09-2004,1.00,0.00,0.00,0.00
04-09-2004,0.90,0.00,0.00,0.00
05-09-2004,0.90,0.00,0.00,0.00
06-09-2004,1.70,0.00,0.00,0.00
07-09-2004,1.70,0.00,0.00,0.00
08-09-2004,1.90,0.00,0.00,0.00
09-09-2004,1.90,0.00,0.00,0.00
10-09-2004,2.50,0.00,0.00,0.00
11-09-2004,2.50,0.00,0.00,0.00
12-09-2004,2.40,0.00,0.00,0.00
13-09-2004,2.30,0.00,0.00,0.00
14-09-2004,2.15,0.00,0.00,0.00
15-09-2004,2.10,0.00,0.00,0.00
16-09-2004,2.00,0.00,0.00,0.00
17-09-2004,2.00,0.00,0.00,0.00
18-09-2004,1.90,0.00,0.00,0.00
19-09-2004,1.80,0.00,0.00,0.00
20-09-2004,3.20,0.00,0.00,0.00
21-09-2004,4.50,0.00,0.00,0.00
22-09-2004,5.40,0.00,0.00,0.00
23-09-2004,6.50,0.00,0.00,0.00
24-09-2004,7.70,0.00,0.00,0.00
25-09-2004,8.90,0.00,0.00,0.00
26-09-2004,9.80,0.00,0.00,0.00
27-09-2004,10.70,0.00,0.00,0.00
28-09-2004,11.70,0.00,0.00,0.00
29-09-2004,12.20,0.00,0.00,0.00
30-09-2004,13.70,0.00,0.00,0.00
01-10-2004,14.20,0.00,0.00,0.00
02-10-2004,15.30,0.00,0.00,0.00
03-10-2004,17.10,0.00,0.00,0.00
04-10-2004,17.70,0.00,0.00,0.00
05-10-2004,18.30,0.00,0.00,0.00
06-10-2004,18.60,0.00,0.00,0.00
07-10-2004,18.60,0.00,0.00,0.00
08-10-2004,18.60,0.00,0.00,0.00
09-10-2004,18.50,0.00,0.00,0.00
10-10-2004,18.40,0.00,0.00,0.00
11-10-2004,18.90,0.00,0.00,0.00
12-10-2004,19.20,0.00,0.00,0.00
13-10-2004,19.20,0.00,0.00,0.00
14-10-2004,19.20,0.00,0.00,0.00
15-10-2004,19.10,0.00,0.00,0.00
16-10-2004,19.00,0.00,0.00,0.00
17-10-2004,18.90,0.00,0.00,0.00
18-10-2004,19.90,0.00,0.00,0.00
19-10-2004,20.30,0.00,0.00,0.00
20-10-2004,20.50,0.00,0.00,0.00
21-10-2004,21.00,0.00,0.00,0.00
22-10-2004,22.20,0.00,0.00,0.00
23-10-2004,22.90,0.00,0.00,0.00
24-10-2004,23.40,0.00,0.00,0.00
25-10-2004,23.40,0.00,0.00,0.00
26-10-2004,24.80,0.00,0.00,0.00
27-10-2004,27.70,0.00,0.00,0.00
28-10-2004,29.80,0.00,0.00,0.00
29-10-2004,33.10,0.00,0.00,0.00
30-10-2004,37.40,0.00,0.00,33.00
31-10-2004,45.00,0.00,40.77,59.00
01-11-2004,49.60,0.00,175.00,72.00
02-11-2004,52.00,0.00,275.00,78.00
03-11-2004,54.40,0.00,281.00,78.00
04-11-2004,57.00,0.00,285.60,78.00
05-11-2004,58.00,0.00,285.60,78.00
06-11-2004,63.70,20.00,389.73,101.00
07-11-2004,74.50,50.00,475.00,170.00
08-11-2004,92.80,57.00,587.00,250.00
09-11-2004,109.20,129.00,675.00,284.00
10-11-2004,119.70,133.00,699.00,292.00
11-11-2004,128.10,128.00,708.00,292.00
12-11-2004,131.00,123.00,713.00,292.00
13-11-2004,146.40,144.00,773.00,437.00
14-11-2004,173.70,158.00,808.00,491.00
15-11-2004,184.80,160.00,814.00,502.00
16-11-2004,192.40,164.00,819.00,502.00
17-11-2004,196.30,166.00,824.00,502.00
18-11-2004,197.10,166.00,824.00,502.00
19-11-2004,197.90,166.00,822.00,502.00
20-11-2004,198.70,165.00,819.00,502.00
21-11-2004,198.70,164.00,816.00,502.00
22-11-2004,198.70,163.00,813.00,502.00
23-11-2004,198.70,162.00,810.00,502.00
24-11-2004,198.70,161.00,807.00,501.00
25-11-2004,197.90,160.00,804.00,500.00
26-11-2004,198.70,159.00,801.00,499.00
27-11-2004,216.60,160.00,801.00,499.00
28-11-2004,225.1,160.00,801.00,498
29-11-2004,247.00,159.00,798.00,496.00
30-11-2004,283.60,159.00,796.00,495.00
01-12-2004,324.20,158.00,793.00,494.00
02-12-2004,363.00,158.00,790.00,492.00
03-12-2004,401.30,157.00,788.00,489.00
04-12-2004,440.30,157.00,786.00,486.00
05-12-2004,478.40,156.00,783.00,483
06-12-2004,516.70,156.00,781.00,480.00
07-12-2004,553.80,155.00,778.00,478.00
08-12-2004,588.10,155.00,776.00,476.00
09-12-2004,616.50,145.00,783.00,474.00
10-12-2004,643.90,131.00,793.00,472.00
11-12-2004,674.10,122.00,800.00,469.00
12-12-2004,706.10,110.00,807.00,469.00
13-12-2004,728.90,106.00,808.00,463.00
14-12-2004,749.20,102.00,810.00,460.00
15-12-2004,773.80,100.00,811.00,458.00
16-12-2004,790.20,98.00,811.00,455.00
17-12-2004,806.80,96.00,811.00,452.00
18-12-2004,812.30,94.00,821.00,449.00
19-12-2004,817.80,92.00,833.00,446.00
20-12-2004,822.00,90.00,845.00,443.00
21-12-2004,823.40,89.00,857.00,440.00
22-12-2004,823.40,87.50,868.00,437.00
23-12-2004,823.40,86.50,878.00,434.00
24-12-2004,823.40,86.00,888.00,431.00
25-12-2004,823.40,85.00,899.00,428.00
26-12-2004,823.40,83.00,910.00,424.00
27-12-2004,823.40,81.00,922.00,421.00
28-12-2004,823.40,79.00,941.00,417.00
29-12-2004,820.70,77.00,954.00,413.00
30-12-2004,815.10,75.00,965.00,409.00
31-12-2004,810.90,73.00,975.00,405.00
01-01-2005,805.40,71.00,986.00,401.00
02-01-2005,799.90,69.00,996.00,397.00
03-01-2005,794.40,67.00,1007.00,393.00
04-01-2005,790.20,65.50,1018.00,389.00
05-01-2005,791.60,64.00,1029.00,385.00
06-01-2005,3231.00,759.00,3036.00,2973.00
07-01-2005,809.60,62.00,1049.00,377.00
08-01-2005,822.10,61.50,1060.00,373.00
09-01-2005,829.00,61.00,1073.00,369.00
10-01-2005,836.00,60.50,1086.00,365.00
11-01-2005,843.00,60.00,1102.00,361.00
12-01-2005,850.00,59.50,1118.00,357.00
13-01-2005,855.60,59.00,1134.00,353.00
14-01-2005,861.20,59.00,1149.00,349.00
15-01-2005,866.90,59.00,1164.00,345.00
16-01-2005,872.50,58.50,1179.00,341.00
17-01-2005,876.80,58.50,1194.00,337.00
18-01-2005,878.20,58.50,1209.00,334.00
19-01-2005,875.30,58.00,1225.00,331.00
20-01-2005,869.70,58.00,1243.00,327.00
21-01-2005,864.10,58.00,1261.00,323.00
22-01-2005,858.40,57.50,1279.00,319.00
23-01-2005,852.80,57.50,1297.00,315.00
24-01-2005,850.00,57.50,1315.00,311.00
25-01-2005,854.20,57.00,1333.00,307.00
26-01-2005,859.80,57.00,1351.00,303.00
27-01-2005,864.00,57.00,1369.00,298.00
28-01-2005,864.00,57.00,1387.00,294.00
29-01-2005,862.60,56.50,1405.00,290.00
30-01-2005,861.20,56.50,1423.00,286.00
31-01-2005,858.40,56.50,1440.00,282.00
01-02-2005,851.40,56.50,1458.00,275.00
02-02-2005,842.90,56.00,1476.00,274.00
03-02-2005,834.60,56.00,1494.00,270.00
04-02-2005,829.00,56.00,1510.00,266.00
05-02-2005,824.80,56.00,1526.00,262.00
06-02-2005,822.00,55.50,1542.00,260.00
07-02-2005,817.80,55.50,1558.00,258.00
08-02-2005,815.10,55.50,1573.00,256.00
09-02-2005,810.90,54.50,1588,254
10-02-2005,806.80,53.50,1604,252
11-02-2005,798.50,52.50,1620,250
12-02-2005,792.9,51.6,1635,248
13-02-2005,783.3,50.8,1649,246
14-02-2005,771,50,1664,244
15-02-2005,756,49.2,1679,242
16-02-2005,742.4,48.4,1695,240
17-02-2005,728.9,47.6,1711,238
18-02-2005,715.6,46.80,1727.0,236.0
19-02-2005,702.00,46.00,1741.00,233.00
20-02-2005,688.70,45.20,1755.00,231.00
21-02-2005,674.10,44.10,1769.00,229.00
22-02-2005,658.30,43.60,1781.00,227.00
23-02-2005,633.40,42.80,1797.00,225.00
24-02-2005,610,42.00,1813.00,223
25-02-2005,586.80,41.20,1829.00,220.00
26-02-2005,562.6,40.40,1845.00,218.00
27-02-2005,537.6,39.80,1860.00,216.00
28-02-2005,515.50,38.20,1874.00,214.00
01-03-2005,495.00,36.40,1887.00,211.00
02-03-2005,472.50,34.60,1900.00,208.00
03-03-2005,450.50,32.60,1914.00,205.00
04-03-2005,428.90,30.60,1926.00,202.00
05-03-2005,407.90,28.60,1938.00,199.00
06-03-2005,387.30,26.60,1950.00,196.00
07-03-2005,368.20,24.60,1958.00,193.00
08-03-2005,351.50,22.60,1964.00,191.00
09-03-2005,336.2,20.6,1970,189.00
10-03-2005,323.20,18.60,1975,187.00
11-03-2005,311.40,16.60,1979,184.00
12-03-2005,300.7,14.8,1982,182
13-03-2005,288.30,13.40,1982,180
14-03-2005,278.90,12.00,1982.00,178.00
15-03-2005,267.80,10.40,1982.00,176.00
16-03-2005,258.60,8.60,1983.00,173.00
17-03-2005,250.50,6.80,1980.00,171.00
18-03-2005,243.40,5.00,1977.00,169.00
19-03-2005,236.4,3.20,1973.00,167.00
20-03-2005,230.30,1.90,1968.00,165.00
21-03-2005,225.10,1.10,1963.00,163.00
22-03-2005,223.40,.40,1955.00,160.00
23-03-2005,222.50,.0,1947.00,157.00
24-03-2005,221.70,.0,1939.00,154.00
25-03-2005,220.80,.0,1931.00,151.00
26-03-2005,220.00,.0,1923.00,148.00
27-03-2005,219.20,0.00,1915.00,145.00
28-03-2005,218.30,0.00,1907.00,142.00
29-03-2005,217.50,0.00,1899.00,139.00
30-03-2005,216.60,0.00,1891.00,136.00
31-03-2005,215.80,0.00,1883.00,133.00
01-04-2005,214.90,0.00,1873.00,129.00
02-04-2005,214.10,0.00,1864.00,126.00
03-04-2005,213.30,0.00,1855.00,123.00
04-04-2005,212.50,0.00,1846.00,120.00
05-04-2005,214.90,0.00,1837.00,126.00
06-04-2005,236.40,0.00,1870.00,170.00
07-04-2005,235.50,0.00,1861.00,177.00
08-04-2005,257.70,0.00,1852.00,177.00
09-04-2005,256.80,0.00,1843.00,175.00
10-04-2005,255.90,0.00,1834.00,173.00
11-04-2005,255.00,0.00,1825.00,170.00
12-04-2005,254.10,0.00,1816.00,170.00
13-04-2005,253.20,0.00,1807.00,168.00
14-04-2005,252.30,0.00,1794.00,166.00
15-04-2005,251.40,0.00,1784.00,164.00
16-04-2005,250.50,0.00,1775.00,162.00
17-04-2005,249.60,0.00,1766.00,160.00
18-04-2005,248.70,0.00,1757.00,158.00
19-04-2005,247.80,0.00,1748.00,156.00
20-04-2005,246.90,0.00,1739.00,154.00
21-04-2005,246.00,0.00,1730.00,152.00
22-04-2005,245.20,0.00,1721.00,150.00
23-04-2005,244.30,0.00,1712.00,148.00
24-04-2005,243.40,0.00,1703.00,146.00
25-04-2005,242.50,0.00,1694.00,143.00
26-04-2005,241.60,0.00,1685.00,141.00
27-04-2005,240.80,0.00,1676.00,139.00
28-04-2005,239.90,0.00,1667.00,137.00
29-04-2005,239.00,0.00,1658.00,135.00
30-04-2005,237.30,0.00,1649.00,133.00
01-05-2005,235.50,0.00,1640.00,131.00
02-05-2005,238.10,0.00,1631.00,129.00
03-05-2005,236.40,0.00,1622.00,127.00
04-05-2005,234.60,0.00,1613.00,125.00
05-05-2005,232.90,0.00,1604.00,123.00
06-05-2005,231.20,0.00,1595.00,121.00
07-05-2005,231.20,0.00,1586.00,119.00
08-05-2005,229.40,0.00,1577.00,117.00
09-05-2005,227.70,0.00,1568.00,115.00
10-05-2005,226.00,0.00,1559.00,113.00
11-05-2005,224.30,0.00,1550.00,110.00
12-05-2005,222.6,0.00,1541.00,108.00
13-05-2005,220.90,0.00,1532.00,106.00
14-05-2005,219.20,0.00,1523.00,104.00
15-05-2005,217.50,0.00,1514.00,102.00
16-05-2005,215.80,0.00,1505.00,100.00
17-05-2005,214.10,0.00,1496.00,98.00
18-05-2005,212.50,0.00,1487.00,96.00
19-05-2005,210.00,0.00,1478.00,94.00
20-05-2005,207.50,0.00,1469.00,92.00
21-05-2005,205.10,0.00,1460.00,90.00
22-05-2005,202.70,0.00,1451.00,88.00
23-05-2005,200.30,0.00,1442.00,86.00
24-05-2005,197.90,0.00,1433.00,84.00
25-05-2005,195.50,0.00,1424.00,82.00
26-05-2005,193.20,0.00,1415.00,80.00
27-05-2005,190.90,0.00,1406.00,78.00
28-05-2005,188.70,0.00,1397.00,76.00
29-05-2005,186.30,0.00,1388.00,74.00
30-05-2005,184.00,0.00,1379.00,72.00
31-05-2005,181.80,0.00,1370.00,70.00
01-06-2005,179.50,0.00,1361.00,68.00
02-06-2005,177.30,0.00,1352.00,66.00
03-06-2005,175.10,0.00,1343.00,64.00
04-06-2005,173.70,0.00,1334.00,62.00
05-06-2005,171.50,0.00,1325.00,60.00
06-06-2005,169.40,0.00,1316.00,58.00
07-06-2005,167.20,0.00,1307.00,56.00
08-06-2005,165.10,0.00,1298.00,54.00
09-06-2005,163.70,0.00,1289.00,54.00
10-06-2005,1177.00,427.00,1794.00,1908.00
11-06-2005,1153.00,425.00,1797.00,1900.00
12-06-2005,1130.00,423.00,1800.00,1892.00
13-06-2005,155.60,0.00,1253.00,48.00
14-06-2005,153.60,0.00,1244.00,47.00
15-06-2005,151.60,0.00,1235.00,46.00
16-06-2005,149.60,0.00,1226.00,45.00
17-06-2005,147.70,0.00,1217.00,44.00
18-06-2005,145.70,0.00,1208.00,44.00
19-06-2005,143.80,0.00,1199.00,42.00
20-06-2005,141.90,0.00,1190.00,41.00
21-06-2005,143.20,0.00,1181.00,40.00
22-06-2005,141.90,0.00,1172.00,39.00
23-06-2005,140.70,0.00,1163.00,38.00
24-06-2005,138.90,0.00,1154.00,37.00
25-06-2005,137.00,0.00,1145.00,36.00
26-06-2005,135.20,0.00,1136.00,35.00
27-06-2005,133.40,0.00,1127.00,34.00
28-06-2005,131.60,0.00,1118.00,33.00
29-06-2005,129.90,0.00,1109.00,32.00
30-06-2005,128.10,0.00,1100.00,31.00
01-07-2005,126.40,0.00,1091.00,30.00
02-07-2005,124.70,0.00,1082.00,29.00
03-07-2005,123.00,0.00,1073.00,28.00
04-07-2005,121.30,0.00,1064.00,27.00
05-07-2005,119.70,0.00,1055.00,26.00
06-07-2005,118.60,0.00,1046.00,25.00
07-07-2005,117.00,0.00,1037.00,24.00
08-07-2005,115.40,0.00,1028.00,23.00
09-07-2005,113.80,0.00,1019.00,22.00
10-07-2005,112.30,0.00,1010.00,21.00
11-07-2005,110.70,0.00,1001.00,20.00
12-07-2005,109.20,0.00,992.00,19.00
13-07-2005,107.70,0.00,983.00,18.00
14-07-2005,106.20,0.00,974.00,17.00
15-07-2005,105.20,0.00,965.00,16.00
16-07-2005,103.80,0.00,956.00,15.00
17-07-2005,102.30,0.00,947.00,14.00
18-07-2005,100.90,0.00,938.00,13.00
19-07-2005,99.50,0.00,929.00,12.00
20-07-2005,98.60,0.00,920.00,11.00
21-07-2005,99.50,0.00,911.00,15.00
22-07-2005,98.10,0.00,902.00,14.00
23-07-2005,97.20,0.00,893.00,13.00
24-07-2005,96.30,0.00,893.00,13.00
25-07-2005,95.00,0.00,886.00,12.00
26-07-2005,94.10,0.00,877.00,11.00
27-07-2005,93.30,0.00,868.00,10.00
28-07-2005,92.40,0.00,859.00,9.00
29-07-2005,91.50,0.00,850.00,9.00
30-07-2005,90.70,0.00,841.00,8.00
31-07-2005,89.90,0.00,832.00,7.00
01-08-2005,89.00,0.00,823.00,6.00
02-08-2005,88.20,0.00,814.00,5.00
03-08-2005,87.40,0.00,805.00,4.00
04-08-2005,86.60,0.00,796.00,3.00
05-08-2005,85.80,0.00,787.00,2.00
06-08-2005,85.00,0.00,778.00,0
07-08-2005,84.20,0.00,769.00,0
08-08-2005,83.50,0.00,760.00,0
09-08-2005,83.10,0.00,751.00,0.00
10-08-2005,82.30,0.00,742.00,0.00
11-08-2005,81.60,0.00,733.00,0.00
12-08-2005,80.80,0.00,724.00,0.00
13-08-2005,80.10,0.00,715.00,0.00
14-08-2005,79.40,0.00,706.00,0.00
15-08-2005,80.50,0.00,697.00,0.00
16-08-2005,81.60,0.00,688.00,0.00
17-08-2005,83.30,0.00,680.00,0.00
18-08-2005,82.70,0.00,671.00,0.00
19-08-2005,81.90,0.00,662.00,0.00
20-08-2005,81.20,0.00,653.00,0.00
21-08-2005,80.50,0.00,644.00,0.00
22-08-2005,79.70,0.00,635.00,0.00
23-08-2005,79.40,0.00,626.00,0.00
